model_feature_order,gene_symbol,max_abs_scale,elastic_net_coefficient,centroid_B_CONV,centroid_B_ASC
411,EID3,3.0053785,0.4914082,0.024899581,0.023071775
412,TCTN1,3.232025,0.9563173,0.05947281,0.022248892
413,HVCN1,3.579154,-2.422724,0.52522856,0.098826356
414,HECTD4,3.5168965,-0.12433593,0.048812658,0.04059211
415,HRK,3.0492969,-1.3021089,0.04913921,0.05701459
416,BCL7A,3.597969,-1.8912143,0.32752138,0.109818615
417,MMP17,3.031286,-0.24314144,0.017316196,0.0013892833
418,USP12,3.1178734,-1.4538231,0.08134582,0.051834643
419,BRCA2,3.3236618,1.8983072,0.03045451,0.09443477
420,FOXO1,3.003556,-0.5155513,0.06679769,0.05189423
421,MRPS31,3.19537,1.9507322,0.10785803,0.38896066
422,WBP4,2.997206,0.13372272,0.051090214,0.072870955
