replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
3,0.6,4,1102,1010,0.7822784810126582,0.8411978221415608
3,0.6,5,1059,1056,0.9877819548872181,0.9924457034938622
3,0.8,0,41581,40032,0.7861551256237416,0.8638801375628292
3,0.8,1,32093,33581,0.7630604026845638,0.8856760041130465
3,0.8,2,22835,34181,0.5986989681471512,0.9350558353404861
3,0.8,3,17666,6228,0.3371012870733072,0.34099399977357636
3,0.8,4,3840,4064,0.6703296703296703,0.8260416666666667
3,0.8,5,1235,1166,0.7615553925165077,0.8404858299595142
3,0.8,6,1070,1068,0.9814643188137164,0.9897196261682243
4,0.4,0,76610,78057,0.9471378394370098,0.9820388983161468
4,0.4,1,40145,40267,0.9325162220620044,0.9665462697720762
4,0.4,2,1518,0,0.0,0.0
4,0.4,3,1047,1044,0.9876425855513308,0.9923591212989494
4,0.4,4,1000,952,0.8484848484848485,0.896
4,0.6,0,42995,70351,0.546140310193837,0.9312013024770323
4,0.6,1,38925,42146,0.8873911626391023,0.9792421323057161
4,0.6,2,32926,2311,0.059377066923215684,0.0599829921642471
4,0.6,3,3331,3352,0.6649227703039362,0.8012608826178325
4,0.6,4,1092,1102,0.7968877968877969,0.8910256410256411
4,0.6,5,1051,1058,0.9840075258701787,0.9952426260704091
4,0.8,0,41522,41879,0.8211813516759472,0.9056885506478494
4,0.8,1,32106,31793,0.796379072840235,0.8823272908490625
4,0.8,2,22866,21654,0.7969727547931382,0.8635091402081694
4,0.8,3,17730,18857,0.8269749325876361,0.9340665538635082
4,0.8,4,3808,3923,0.6770065075921909,0.8195903361344538
4,0.8,5,1229,1154,0.7770320656226697,0.8478437754271766
4,0.8,6,1059,1060,0.9896713615023475,0.9952785646836638
5,0.4,0,76715,75829,0.9533883112226604,0.970501205761585
5,0.4,1,40105,40014,0.9296483622350674,0.9624485724971948
5,0.4,2,1491,2536,0.55723124516628,0.9664654594232059
5,0.4,3,1031,1032,0.995164410058027,0.9980601357904947
5,0.4,4,978,909,0.8057416267942584,0.8609406952965235
5,0.6,0,43071,72401,0.5391956918729423,0.9391702073320796
5,0.6,1,38872,41514,0.8954938810158222,0.97697571516773
